longitude,latitude
34.117064,31.212225
31.185193,30.022924
31.185193,30.022924
33.800864,31.126646
31.185193,30.022924
34.117064,31.212225
31.206674,30.139763
30.963032,29.997914
30.963032,29.997914
33.800864,31.126646
33.622915,28.239797
33.781681,28.03129
31.334314,30.084628
31.334314,30.084628
33.800864,31.126646
34.131668,31.078333
34.146268,31.082872
31.719546,30.732662
31.334314,30.084628
31.719546,30.732662
31.185193,30.022924
31.334314,30.084628
30.76184,28.087097
31.334314,30.084628
33.800864,31.126646
33.800864,31.126646
31.317676,29.854085
34.241281,31.250196
31.334314,30.084628
31.334314,30.084628
31.334314,30.084628
33.932246,31.110285
33.617577,30.608472
31.110741,30.030554
30.838811,29.311707
31.156275,29.974001
31.170674,30.968777
30.291146,30.908829
31.317676,29.854085
31.204954,29.334104
34.241281,31.250196
31.334314,30.084628
34.117064,31.212225
27.173532,24.545564
30.963032,29.997914
33.800864,31.126646
34.241281,31.250196
34.117064,31.212225
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
33.532727,31.069604
33.617577,30.608472
30.963032,29.997914
31.269641,30.135777
31.334314,30.084628
31.334314,30.084628
31.319417,30.152936
31.334314,30.084628
31.334314,30.084628
33.800864,31.126646
34.241281,31.250196
30.963032,29.997914
31.334314,30.084628
31.334314,30.084628
31.334314,30.084628
31.334314,30.084628
33.617577,30.608472
29.894987,31.18051
31.334314,30.084628
31.185193,30.022924
31.185193,30.022924
32.240958,31.241078
31.166733,27.207501
31.166733,27.207501
30.963032,29.997914
31.185193,30.022924
34.241281,31.250196
,
31.334314,30.084628
31.491318,31.083202
31.814443,31.417539
33.800864,31.126646
33.800864,31.126646
33.800864,31.126646
30.963032,29.997914
34.241281,31.250196
34.117064,31.212225
33.800864,31.126646
27.969925,27.058452
33.800864,31.126646
34.241281,31.250196
34.241281,31.250196
34.241281,31.250196
33.617577,30.608472
34.117064,31.212225
34.117064,31.212225
34.146268,31.082872
34.117064,31.212225
31.303039,29.732586
31.185193,30.022924
34.117064,31.212225
34.146268,31.082872
28.43569,31.027081
28.446384,31.029024
34.241281,31.250196
34.110425,31.211645
,
30.76184,28.087097
30.76184,28.087097
31.73076,30.306699
31.334314,30.084628
34.183889,31.218889
31.317676,29.854085
31.013082,30.565576
31.73076,30.306699
31.130546,30.747309
31.334314,30.084628
33.617577,30.608472
31.334314,30.084628
31.334314,30.084628
34.241281,31.250196
34.241281,31.250196
34.117064,31.212225
34.241389,31.148611
33.617577,30.608472
34.241281,31.250196
33.800864,31.126646
32.304858,31.266208
34.364319,30.887489
33.800864,31.126646
34.117064,31.212225
30.999529,30.787678
33.800864,31.126646
30.76184,28.087097
31.947627,30.086821
34.241281,31.250196
34.117064,31.212225
33.800864,31.126646
34.117064,31.212225
30.063242,30.063242
30.999529,30.787678
31.170674,30.968777
30.999529,30.787678
30.999529,30.787678
31.130505,30.047067
30.76184,28.087097
31.345509,30.51048
31.185193,30.022924
32.058934,26.278256
31.03351,30.875356
31.170674,30.968777
31.170674,30.968777
31.03351,30.875356
30.818955,30.824734
34.163253,31.127887
