iyear,imonth,iday,extended,governorate,city,longitude,latitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1_txt,gname,individual,weaptype,weaptype_txt,nkills
2016,9,20,0,North Sinai,Bir Beda,34.489787,30.392788,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Unknown,0,6,Explosives,1
2016,9,20,0,North Sinai,Rafah,34.241281,31.250196,1,0,9,Unknown,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Soldiers,Egypt,Unknown,0,13,Unknown,1
2016,9,21,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,2,Armed Assault,3,Police,22,"Police Building (headquarters, station, school)",Police Station,Egypt,Sinai Province of the Islamic State,0,5,Firearms,1
2016,9,22,0,North Sinai,Arish,33.800864,31.126646,1,0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,"Officers: Tamer Abdel Naby, Ihab al-Sayyed, Shaaban al-Sayyed",Egypt,Unknown,0,5,Firearms,1
2016,9,23,1,North Sinai,Arish,33.800864,31.126646,1,0,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,85,Religious Figure,Imam: Sa'id 'Abd-al-Fattah,Egypt,Sinai Province of the Islamic State,0,5,Firearms,1
2016,9,23,1,North Sinai,Maswora,34.240071,31.23185,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,113,Alleged Informant,Suspected Informant: Hassan Abou Sakrah,Egypt,Sinai Province of the Islamic State,0,13,Unknown,
2016,9,24,1,North Sinai,Maswora,34.23045,31.228216,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,113,Alleged Informant,Suspected Informant: Ismail Arafat,Egypt,Sinai Province of the Islamic State,0,13,Unknown,
2016,9,24,1,North Sinai,Maswora,34.23045,31.228216,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,113,Alleged Informant,Suspected Informant: Mustafa Abou Farag,Egypt,Sinai Province of the Islamic State,0,13,Unknown,
2016,9,26,0,North Sinai,Rafah,34.241281,31.250196,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Unknown,0,6,Explosives,0
2016,9,28,0,North Sinai,Masaeed,33.72472,31.116554,1,0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,"Officers: Mostafa Fathy, Mohamed al-Yamany, Sayyed Salama",Egypt,Sinai Province of the Islamic State,0,5,Firearms,4
2016,9,29,0,Cairo,New Cairo,31.456419,30.026531,0,0,1,Assassination,2,Government (General),14,Judge/Attorney/Court,Convoy of Assistant Prosecutor General: Zakaria Abdel Aziz,Egypt,Hasam Movement,0,6,Explosives,0
2016,10,1,0,North Sinai,Arish,33.800864,31.126646,1,0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Officers,Egypt,Sinai Province of the Islamic State,0,5,Firearms,5
2016,10,1,0,North Sinai,Rafah,34.241281,31.250196,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Sinai Province of the Islamic State,0,6,Explosives,1
2016,10,1,1,North Sinai,Naga Shabanah,34.241389,31.148611,1,0,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,85,Religious Figure,Sufi Clerics,Egypt,Sinai Province of the Islamic State,0,13,Unknown,
2016,10,1,0,North Sinai,Rafah,34.241281,31.250196,0,0,9,Unknown,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Security Forces,Egypt,Sinai Province of the Islamic State,0,13,Unknown,5
2016,10,2,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,1,Business,1,Gas/Oil/Electric,Vehicle of Electric Company Employees,Egypt,Sinai Province of the Islamic State,0,6,Explosives,4
2016,10,3,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,2,Armed Assault,3,Police,22,"Police Building (headquarters, station, school)",Police Station,Egypt,Sinai Province of the Islamic State,0,5,Firearms,8
2016,10,7,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Armored Vehicle,Egypt,Sinai Province of the Islamic State,0,6,Explosives,0
2016,10,8,0,Beheira,Mahmoudiyah,30.525031,31.182648,1,0,2,Armed Assault,2,Government (General),18,"Government Personnel (excluding police, military)",Officer: Gamal al-Deeb,Egypt,Hasam Movement,0,5,Firearms,1
2016,10,7,0,North Sinai,Khewitar,34.110022,31.211297,1,0,4,Hijacking,1,Business,6,Medical/Pharmaceutical,Medical Facility,Egypt,Sinai Province of the Islamic State,0,13,Unknown,0
2016,10,8,0,North Sinai,Hamayda,34.109856,31.211758,1,0,2,Armed Assault,14,Private Citizens & Property,71,Race/Ethnicity Identified,Bedouin Civilian,Egypt,Unknown,0,5,Firearms,0
2016,10,8,0,North Sinai,Sakadra,34.110425,31.211645,1,0,2,Armed Assault,14,Private Citizens & Property,71,Race/Ethnicity Identified,Bedouin Civilian,Egypt,Unknown,0,5,Firearms,0
2016,10,10,0,North Sinai,Arish,33.800864,31.126646,0,0,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,Officers,Egypt,Unknown,0,6,Explosives,0
2016,10,10,0,North Sinai,Arish,33.800864,31.126646,0,0,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,Officers,Egypt,Unknown,0,6,Explosives,0
2016,10,11,1,North Sinai,Arish,33.800864,31.126646,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,113,Alleged Informant,"Suspected Informants: Maysa, Fathi Ayish Salameh",Egypt,Sinai Province of the Islamic State,0,5,Firearms,2
2016,10,11,0,North Sinai,Arish,33.800864,31.126646,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Egypt,Unknown,0,13,Unknown,0
